raw_line,line_type,source_file
Evrak No :202506826,evrak,lescon    örme usd hs.xls
Evrak No :202503045,evrak,lescon    örme usd hs.xls
Evrak No :202503044,evrak,lescon    örme usd hs.xls
Evrak No :202503306,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.FILE 2*2 DUZ BOYA,price_product,lescon    örme usd hs.xls
Evrak No :202503307,evrak,lescon    örme usd hs.xls
Evrak No :202503327,evrak,lescon    örme usd hs.xls
Evrak No :202503328,evrak,lescon    örme usd hs.xls
Evrak No :202503326,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.FILE 3*1 DUZ BOYA,price_product,lescon    örme usd hs.xls
Evrak No :202503332,evrak,lescon    örme usd hs.xls
Evrak No :202503408,evrak,lescon    örme usd hs.xls
Evrak No :202500120,evrak,lescon    örme usd hs.xls
8.70$+KDV /DOUBLEFACE PAMUK POLY.ELASTAN,price_product,lescon    örme usd hs.xls
"599.835,08 TL/39,3254 16.06.25 VD.ÇEK TAHSİL-FNo:183892",kur_farki,lescon    örme usd hs.xls
"64.764,18 TL/39,3254 16.06.25 ÇEK FARKI-FNo:183933",kur_farki,lescon    örme usd hs.xls
Evrak No :202503475,evrak,lescon    örme usd hs.xls
7$+KDV /INTERLOK POLY.,price_product,lescon    örme usd hs.xls
Evrak No :202503474,evrak,lescon    örme usd hs.xls
Evrak No :202503473,evrak,lescon    örme usd hs.xls
Evrak No :202503486,evrak,lescon    örme usd hs.xls
Evrak No :202503506,evrak,lescon    örme usd hs.xls
Evrak No :202503505,evrak,lescon    örme usd hs.xls
"599.835,08 TL/39,6122 21.06.25 VD.ÇEK TAHSİL-FNo:183953",kur_farki,lescon    örme usd hs.xls
Evrak No :202503551,evrak,lescon    örme usd hs.xls
6.50$+KDV /ALKANDRA INCE SARDONLU,price_product,lescon    örme usd hs.xls
"600.744,06 TL/39,7106 26.06.25 VD.ÇEK TAHSİL-FNo:183990",kur_farki,lescon    örme usd hs.xls
"69.611,10 TL/39,6122 21.06.25 VD.ÇEK FARKI-FNo:183995",kur_farki,lescon    örme usd hs.xls
Evrak No :202503579,evrak,lescon    örme usd hs.xls
6.50$+KDV /ALKANDRA SARDONLU,price_product,lescon    örme usd hs.xls
"71.382,07 TL/39,7106 26.06.25 VD.ÇEK FARKI-FNo:184012",kur_farki,lescon    örme usd hs.xls
Evrak No :202503751,evrak,lescon    örme usd hs.xls
6$+KDV /SUPREM POLY.ELASTAN ANTISTATIK APRE PFD,price_product,lescon    örme usd hs.xls
Evrak No :202503771,evrak,lescon    örme usd hs.xls
Evrak No :202503790,evrak,lescon    örme usd hs.xls
Evrak No :202503787,evrak,lescon    örme usd hs.xls
Evrak No :202503875,evrak,lescon    örme usd hs.xls
"1.144.680,66 TL/40,1605 16.07.25 VD.ÇEK TAHSİL-FNo:184156",kur_farki,lescon    örme usd hs.xls
Evrak No :202503903,evrak,lescon    örme usd hs.xls
"1.144.680,66 TL/40,3007 21.07.25 VD.ÇEK TASHİL-FNo:184203",kur_farki,lescon    örme usd hs.xls
"128.407,19 TL/40,1605 16.07.25 VD.ÇEK FARKI-FNo:184207",kur_farki,lescon    örme usd hs.xls
"132.851,53 TL/40,3007 21.07.25 VD.ÇEK FARKI-FNo:184245",kur_farki,lescon    örme usd hs.xls
Evrak No :202504111,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.ELASTAN JAKAR SUPREM ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
7.50$+KDV /POLY.ELASTAN JAKAR SUPREM ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202504110,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.FILE 3x1 DUZ BOYALI,price_product,lescon    örme usd hs.xls
"1.147.894,79 TL/40,4718 26.07.25 VD.ÇEK TAHSİL-FNo:184269",kur_farki,lescon    örme usd hs.xls
Evrak No :202504123,evrak,lescon    örme usd hs.xls
7.50$+KDV /POLY.ELASTAN JAKAR SUPREM ANTISTATIK APRELI,price_product,lescon    örme usd hs.xls
Evrak No :202504145,evrak,lescon    örme usd hs.xls
6.80$+KDV /3 AYAK POLY.RAPORLU YAGMUR DESEN WIKING APRE,price_product,lescon    örme usd hs.xls
Evrak No :202504169,evrak,lescon    örme usd hs.xls
"138.663,66 TL/40,4718 26.07.25 VD.ÇEK FARKI-FNo:184324",kur_farki,lescon    örme usd hs.xls
Evrak No :202504191,evrak,lescon    örme usd hs.xls
Evrak No :202504219,evrak,lescon    örme usd hs.xls
Evrak No :202504218,evrak,lescon    örme usd hs.xls
